nombre_cientifico,nombre_comun,origen,manejo,forma_de_vida,imagen_url,descripcion_uso
Aechmea magdalenae,Pita maguey,México a Ecuador,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Aechmea%20magdalenae.webp,Esta planta puede utilizarse tradicionalmente para tratar problemas digestivos leves y para favorecer la cicatrización de heridas superficiales. En algunas comunidades también se emplea como apoyo para aliviar inflamaciones leves.
Alibertia edulis,Castarrica,Sur de México a América tropical,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Alibertia_edulis.jpg,Los frutos de esta planta se consumen tradicionalmente como alimento nutritivo y se asocian con el fortalecimiento del organismo. Se considera útil para mejorar la digestión y apoyar en casos de debilidad general.
Allamanda cathartica,Copa de oro,Sudamérica Brasil,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Allamanda%20cathartica.jpg,Los frutos de esta planta se consumen tradicionalmente como alimento nutritivo y se asocian con el fortalecimiento del organismo. Se considera útil para mejorar la digestión y apoyar en casos de debilidad general.
Allium fistulosum L.,Cebollín blanco,Asiático,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Allium%20fistulosum%20L..webp,"Esta planta se ha utilizado en la medicina tradicional por sus propiedades purgantes. En algunas preparaciones se emplea para tratar estreñimiento y ayudar a limpiar el sistema digestivo, aunque debe utilizarse con precaución."
Allium sp aff. cepa,Cebollín morado,México a Centroamérica,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Allium%20sp%20aff.%20cepa.jpg,"El cebollín blanco puede utilizarse como apoyo en el tratamiento de resfriados leves, tos y congestión respiratoria. También se emplea para mejorar la digestión y fortalecer el sistema inmunológico.
"
Alocasia macrorrhizos,Camoteillo,Malasia,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Alocasia%20macrorrhizos.webp,"En la medicina tradicional algunas partes de esta planta se utilizan externamente para aliviar inflamaciones, dolores musculares y molestias en las articulaciones. Debe emplearse con precaución debido a sus compuestos irritantes."
Aloe vera (L.) Burm.f.,Sábila,Norte de África Islas Canarias España,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Aloe%20vera%20(L.)%20Burm.f..jpg,"La sábila es ampliamente utilizada en la medicina tradicional para tratar quemaduras, irritaciones de la piel, heridas y problemas digestivos leves. También se emplea para hidratar la piel y favorecer la cicatrización."
Alseis yucatanensis,Tabaquillo,Sureste de México a Guatemala,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Alseis%20yucatanensis.jpg,Esta planta se utiliza en algunas prácticas tradicionales para aliviar inflamaciones y molestias digestivas. También se menciona su uso como apoyo en remedios naturales para tratar infecciones leves.
Amaranthus hybridus L.,Bledo,México,cultivada/tolerada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Alseis%20yucatanensis.jpg,"El bledo se consume como planta comestible y nutritiva. Tradicionalmente se utiliza para fortalecer el organismo, ayudar en casos de anemia y favorecer la digestión."
Amaranthus spinosus L.,Bledo colorado,América tropical,silvestre,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Amaranthus%20spinosus%20L..webp,"Esta planta se emplea en la medicina tradicional para tratar problemas digestivos, inflamaciones y afecciones urinarias leves. También se utiliza como apoyo para fortalecer el organismo."
Ampelocera hottlei (Standl.) Standl.,Tatuán,América tropical,silvestre,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Ampelocera%20hottlei%20(Standl.)%20Standl..jpg,En algunas comunidades se emplea esta planta en preparaciones tradicionales para aliviar molestias digestivas y tratar inflamaciones leves.
Anacardium occidentale L.,Marañón,Zona tropical de Brasil,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Anacardium%20occidentale%20L..jpg,"El marañón se utiliza tradicionalmente para tratar problemas digestivos como diarrea y dolor estomacal. Además, sus hojas y corteza se emplean en remedios naturales para tratar infecciones leves y problemas de la piel."
Ananas comosus,Piña,América,cultivada,hierba,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Ananas%20comosus.webp,"La piña es conocida por sus propiedades digestivas gracias a la enzima bromelina. Tradicionalmente se utiliza para mejorar la digestión, reducir inflamaciones y apoyar en el tratamiento de problemas respiratorios leves como la tos."
Annona cherimola Mill.,Saramo saramuyo,Región de los Andes,cultivada,arbusto árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Annona%20cherimola%20Mill..jpg,Esta planta puede utilizarse tradicionalmente como apoyo para mejorar la digestión y aliviar molestias estomacales leves.
Annona muricata L.,Guanábana,América tropical,cultivada,árbol,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Annona%20muricata%20L..webp,"La guanábana se utiliza en la medicina tradicional para tratar problemas digestivos, fiebre y trastornos nerviosos leves. Sus hojas se emplean en infusiones que ayudan a promover la relajación y mejorar la calidad del sueño."
Aristolochia grandiflora,Tamoreal flor de pato,América tropical,silvestre,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Aristolochia%20grandiflora.jpg,"En algunas prácticas tradicionales esta planta se ha utilizado en remedios naturales para aliviar dolores musculares y tratar ciertas infecciones cutáneas. Sin embargo, su uso debe realizarse con precaución debido a la presencia de compuestos potencialmente tóxicos."
Aristolochia maxima,Canastilla farolito,América tropical,silvestre,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Aristolochia%20maxima.jpg,Esta planta se emplea tradicionalmente en preparaciones herbales para tratar inflamaciones y molestias digestivas. En algunas regiones también se utiliza en aplicaciones externas para aliviar dolores articulares.
Aristolochia odoratissima,Cocobá jicabal,América tropical,silvestre,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Aristolochia%20odoratissima.jpg,En la medicina tradicional se ha utilizado para tratar infecciones leves y molestias digestivas. También se menciona su uso en aplicaciones externas para aliviar inflamaciones y dolores musculares.
Aristolochia pentandra,Guaco,Cuba,silvestre,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Aristolochia%20pentandra.jpeg,"Esta planta se ha utilizado tradicionalmente para tratar afecciones respiratorias, como tos y congestión. También se asocia con el alivio de inflamaciones y dolores leves."
Arrabidaea patellifera,Guayabilio,América,silvestre,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Arrabidaea%20patellifera.jpg,En algunas comunidades se emplea en preparaciones tradicionales para aliviar inflamaciones y tratar molestias digestivas leves.
Arrabidaea verrucosa,Bejuco de agua,América,silvestre,bejuco,https://cmncwioutljvdceyregv.supabase.co/storage/v1/object/public/plantas/Arrabidaea%20verrucosa.jpg,"Si se ingiere puede provocar irritación gastrointestinal, náuseas o vómito"
